age,income,loan_amount,loan_term_months,credit_score,employment_years,existing_loans_count,debt_to_income_ratio,loan_purpose,home_ownership,marital_status,loan_default
27,72145.84,34975.7,60,744.0,20.0,4,0.32,medical,rent,married,1
50,66086.95,13081.16,36,628.0,14.0,5,0.299,business,rent,married,1
48,41552.26,2000.0,36,739.0,12.0,5,0.403,personal,rent,married,0
57,64078.45,29117.23,36,742.0,2.0,3,0.179,medical,rent,married,1
50,63564.87,18120.2,48,759.0,24.0,3,0.14,education,rent,married,0
35,97356.1,27944.46,36,691.0,22.0,2,0.377,home_improvement,mortgage,single,1
59,81095.84,20492.63,36,850.0,29.0,0,0.166,medical,rent,married,0
37,65206.02,22127.03,24,759.0,22.0,4,0.166,personal,mortgage,single,0
34,69478.17,21267.08,24,704.0,29.0,0,0.437,personal,mortgage,married,0
57,65795.82,24277.39,24,614.0,27.0,4,0.394,education,own,single,0
35,61347.55,38496.87,60,673.0,13.0,2,0.144,home_improvement,own,single,1
24,45516.31,26739.06,36,787.0,21.0,4,0.233,home_improvement,rent,single,0
39,62281.07,3776.95,12,808.0,8.0,5,0.193,personal,rent,married,0
52,51570.23,22019.95,60,791.0,24.0,3,0.569,business,mortgage,divorced,1
28,42494.32,28273.33,12,739.0,18.0,3,0.447,personal,rent,single,1
39,74201.99,28824.31,36,586.0,13.0,2,0.261,business,rent,single,1
26,72042.76,14160.56,48,717.0,19.0,2,0.401,education,rent,single,0
48,32839.26,28484.5,60,587.0,8.0,0,0.13,personal,own,divorced,1
40,62791.68,26349.68,48,568.0,19.0,0,0.226,personal,rent,married,1
34,82922.62,41152.66,36,698.0,14.0,4,0.335,personal,mortgage,single,0
30,84066.03,11249.98,60,719.0,9.0,5,0.383,personal,mortgage,married,0
43,,13433.39,12,748.0,30.0,0,0.306,education,mortgage,married,0
47,65700.44,15244.93,60,717.0,1.0,1,0.355,home_improvement,rent,married,0
58,49789.18,13588.0,60,720.0,23.0,3,0.331,education,own,married,1
38,45493.42,9989.81,60,606.0,6.0,4,0.297,education,mortgage,married,1
27,71202.89,2000.0,36,672.0,6.0,4,0.279,personal,mortgage,married,0
54,71827.04,14087.7,24,567.0,4.0,4,0.26,personal,rent,single,1
46,88171.96,21324.22,48,530.0,3.0,0,0.352,medical,own,single,1
49,84799.63,13561.0,36,736.0,,1,0.378,personal,mortgage,single,1
24,62619.88,35418.43,36,624.0,25.0,2,0.348,business,rent,single,1
33,42604.29,18120.38,60,,28.0,0,0.155,education,rent,single,0
51,59256.08,29619.26,48,763.0,18.0,2,0.18,home_improvement,rent,married,0
54,68910.16,20352.78,36,634.0,0.0,2,0.376,personal,rent,married,1
38,61362.5,25437.67,36,724.0,26.0,5,0.526,personal,rent,single,1
53,54597.91,20513.17,24,630.0,18.0,1,0.341,education,rent,single,0
54,69551.93,30319.06,24,542.0,16.0,5,0.262,business,rent,married,1
36,55928.76,18503.45,24,689.0,29.0,4,0.351,home_improvement,own,married,1
56,53694.81,22465.09,48,645.0,12.0,4,0.161,education,mortgage,single,1
32,70606.15,21297.0,48,647.0,11.0,4,0.503,education,own,married,1
30,57764.13,15405.43,36,828.0,24.0,5,0.346,medical,mortgage,single,0
48,69393.88,21644.84,36,566.0,16.0,1,0.226,education,mortgage,single,0
46,69917.67,38109.48,48,709.0,22.0,2,0.297,home_improvement,rent,married,1
26,44490.28,15566.43,48,605.0,21.0,3,0.246,personal,mortgage,married,1
54,56337.66,21775.18,60,748.0,26.0,5,0.504,personal,rent,single,1
28,90879.98,29320.01,36,702.0,9.0,0,0.292,home_improvement,mortgage,married,0
53,44082.57,28262.28,48,708.0,2.0,2,0.342,home_improvement,own,divorced,1
21,26900.22,18105.45,36,609.0,14.0,1,0.4,home_improvement,own,single,0
52,31486.79,2000.0,36,623.0,20.0,1,0.216,personal,rent,married,0
52,65523.98,22650.33,60,750.0,25.0,4,0.347,personal,mortgage,single,0
52,65556.51,2000.0,36,813.0,8.0,1,0.358,medical,rent,married,0
47,62883.0,31229.44,36,716.0,23.0,4,0.102,personal,rent,single,1
39,86855.42,19525.26,36,613.0,25.0,5,0.355,personal,rent,single,0
49,18000.0,26997.07,36,705.0,25.0,4,0.314,education,rent,single,0
32,72126.81,9881.0,36,850.0,25.0,1,0.338,personal,mortgage,married,0
52,93105.89,4027.43,48,688.0,30.0,0,0.325,personal,rent,single,0
43,44699.95,20346.79,36,790.0,20.0,2,0.356,medical,,married,1
39,58163.48,17697.57,24,624.0,11.0,3,0.507,education,own,single,1
41,,13576.13,60,677.0,13.0,4,0.155,personal,mortgage,married,0
43,48901.77,18761.95,36,726.0,23.0,2,0.272,personal,rent,married,1
22,59127.28,42906.92,60,,7.0,1,0.413,business,mortgage,single,1
26,90694.74,25510.73,24,623.0,18.0,5,0.387,business,mortgage,married,0
30,98072.96,27445.49,36,619.0,17.0,5,0.384,medical,mortgage,married,1
25,58953.09,25595.43,36,754.0,20.0,3,0.706,education,mortgage,married,1
38,99291.08,31315.16,60,769.0,13.0,4,0.406,medical,own,single,0
47,65640.38,16289.35,24,793.0,22.0,5,0.478,education,rent,married,0
47,96566.44,2000.0,60,815.0,2.0,2,0.277,personal,mortgage,married,0
39,63320.62,16302.72,36,690.0,23.0,0,0.181,home_improvement,rent,single,0
55,67359.04,25305.62,36,657.0,25.0,3,0.276,medical,own,married,1
43,71578.54,9271.8,36,781.0,27.0,2,0.42,personal,rent,single,1
24,122219.37,16412.71,12,733.0,28.0,4,0.377,business,,married,1
51,80323.14,11774.07,36,606.0,10.0,4,0.376,personal,own,married,0
43,52269.24,31518.26,36,602.0,1.0,2,0.29,education,mortgage,divorced,1
46,82441.96,24745.11,36,,20.0,2,0.268,education,rent,single,0
43,58487.01,23863.87,48,667.0,2.0,2,0.295,home_improvement,rent,single,1
43,,23594.41,36,678.0,8.0,3,0.421,education,rent,single,1
24,81354.82,17664.76,24,760.0,21.0,3,0.438,personal,own,married,0
43,65559.54,19778.01,12,737.0,18.0,3,0.179,business,mortgage,married,0
52,70014.37,7333.34,24,780.0,18.0,3,0.427,medical,rent,single,0
33,65251.73,2000.0,24,535.0,23.0,5,0.229,business,mortgage,single,1
45,71058.5,19350.73,48,699.0,5.0,1,0.386,education,rent,married,0
22,72649.39,20915.91,24,732.0,24.0,1,0.293,medical,rent,married,0
34,30134.6,28883.38,60,566.0,18.0,4,0.539,personal,own,married,1
38,76998.31,32142.02,24,631.0,13.0,5,0.261,home_improvement,rent,single,0
60,47323.65,32129.99,24,617.0,14.0,3,0.345,medical,,single,0
29,39038.62,9017.79,60,682.0,15.0,2,0.405,education,mortgage,single,1
32,63948.6,14829.61,36,802.0,17.0,2,0.198,home_improvement,rent,single,1
37,66511.66,22323.01,36,832.0,10.0,2,0.31,education,mortgage,married,1
60,52516.89,40787.14,60,619.0,6.0,0,0.283,home_improvement,mortgage,single,1
55,79958.57,31320.89,60,719.0,5.0,3,0.248,business,mortgage,single,0
22,40840.85,28074.57,48,722.0,10.0,1,0.258,personal,mortgage,single,0
30,57675.01,14509.91,12,709.0,8.0,1,0.476,business,rent,single,0
53,54472.27,10051.2,36,710.0,16.0,3,0.236,business,rent,single,0
23,,25100.17,60,703.0,28.0,5,0.399,education,mortgage,single,0
55,70019.56,8094.05,60,807.0,3.0,1,0.364,home_improvement,rent,single,1
32,46857.93,15854.07,24,763.0,9.0,5,0.124,home_improvement,rent,married,0
57,78037.09,16967.0,36,600.0,1.0,3,0.393,home_improvement,mortgage,divorced,1
32,66134.04,32336.21,36,740.0,30.0,5,0.122,personal,rent,married,1
38,30944.97,14807.72,24,747.0,21.0,2,0.408,personal,mortgage,single,1
47,29745.35,2000.0,48,704.0,7.0,5,0.249,personal,own,divorced,1
26,64778.25,22540.0,36,765.0,12.0,3,0.321,education,own,divorced,1
43,61022.59,11708.8,36,694.0,22.0,4,0.139,personal,rent,married,1
41,63138.44,18383.68,24,695.0,29.0,3,0.337,personal,mortgage,single,0
52,64496.32,17219.66,36,689.0,17.0,2,0.45,business,own,married,1
60,69060.08,15536.66,24,529.0,8.0,3,0.207,personal,rent,divorced,1
47,82057.69,25113.07,36,674.0,21.0,5,0.235,personal,mortgage,married,1
37,45000.11,4204.22,24,630.0,21.0,4,0.384,personal,mortgage,married,1
37,43904.51,13346.87,60,591.0,19.0,0,0.387,personal,rent,married,1
37,45320.17,24156.34,24,788.0,1.0,4,0.03,home_improvement,rent,divorced,0
53,70200.5,12473.24,36,718.0,21.0,5,0.602,business,mortgage,single,1
33,87409.05,3520.74,24,678.0,0.0,4,0.394,education,rent,single,1
27,57235.89,24017.0,12,638.0,28.0,2,0.418,education,own,married,0
34,19969.4,28107.85,24,702.0,27.0,2,0.3,business,mortgage,single,1
21,34328.13,17595.04,12,754.0,17.0,4,0.06,personal,rent,single,1
25,50005.34,2000.0,24,618.0,20.0,3,0.414,home_improvement,mortgage,single,1
24,54960.88,24353.73,36,680.0,2.0,2,0.241,medical,mortgage,single,1
51,57649.0,3061.01,48,745.0,27.0,2,0.396,education,rent,single,0
49,65694.46,20779.19,24,535.0,8.0,2,0.289,personal,own,married,0
48,59388.57,10012.83,36,676.0,8.0,0,0.353,business,mortgage,single,0
39,83888.11,7561.45,36,648.0,21.0,0,0.212,home_improvement,mortgage,married,0
49,52831.69,14022.81,24,670.0,29.0,0,0.441,home_improvement,own,single,0
27,49478.28,16350.32,36,642.0,15.0,2,0.154,personal,mortgage,divorced,1
57,73619.76,12202.13,12,690.0,15.0,3,0.634,home_improvement,mortgage,married,0
41,37358.44,23298.33,24,824.0,17.0,2,0.633,education,rent,divorced,1
58,72014.45,13985.38,36,656.0,9.0,5,0.549,personal,rent,single,1
27,66845.96,26821.72,60,702.0,18.0,1,0.499,home_improvement,mortgage,single,0
40,62346.04,20530.56,60,830.0,29.0,2,0.308,personal,mortgage,married,0
48,93588.97,11721.99,60,639.0,11.0,1,0.483,home_improvement,mortgage,married,0
40,53800.27,10206.54,36,816.0,23.0,1,0.307,medical,mortgage,single,0
38,102085.37,3172.53,24,680.0,23.0,3,0.103,education,mortgage,married,1
27,60942.23,20616.6,36,814.0,26.0,1,0.53,personal,own,married,1
36,42013.7,14808.71,24,736.0,22.0,1,0.478,home_improvement,own,single,0
30,,2000.0,12,703.0,28.0,4,0.316,personal,rent,married,0
33,45627.59,13178.57,24,675.0,22.0,4,0.148,home_improvement,own,single,0
48,51468.39,9890.69,36,633.0,30.0,1,0.238,education,own,single,0
46,72146.6,32181.1,36,686.0,22.0,0,0.065,business,rent,married,0
45,75000.48,2674.99,24,747.0,,1,0.452,personal,rent,married,0
35,53800.98,5027.84,48,679.0,27.0,3,0.096,medical,rent,married,0
59,82773.29,27989.73,36,656.0,30.0,5,0.36,business,mortgage,married,1
24,85835.14,30210.87,60,661.0,18.0,0,0.202,business,mortgage,divorced,0
34,90853.43,11295.15,24,754.0,22.0,0,0.12,personal,mortgage,married,0
25,74529.44,12311.23,36,772.0,29.0,3,0.353,medical,mortgage,single,0
34,89541.72,23546.12,24,630.0,11.0,5,0.273,education,rent,single,1
59,31145.63,2000.0,36,630.0,3.0,3,0.437,home_improvement,rent,married,1
35,59277.68,2000.0,24,708.0,27.0,5,0.143,business,own,married,1
57,49393.91,15473.4,24,795.0,19.0,3,0.214,home_improvement,own,married,0
40,67146.07,31949.02,48,766.0,13.0,0,0.03,business,mortgage,single,0
48,54713.91,14078.43,36,586.0,22.0,2,0.03,home_improvement,rent,single,0
39,62009.16,18908.43,24,660.0,1.0,4,0.572,education,rent,married,1
31,98879.15,28204.1,60,610.0,14.0,3,0.612,personal,rent,married,1
51,61945.04,36961.96,12,660.0,8.0,1,0.333,business,mortgage,single,0
59,72448.26,12808.36,36,800.0,8.0,1,0.205,education,rent,married,1
31,60819.15,17848.47,36,573.0,30.0,3,0.278,education,own,married,0
52,66362.84,34398.5,36,559.0,17.0,2,0.442,personal,mortgage,married,0
31,65108.3,4300.21,36,618.0,4.0,3,0.248,home_improvement,rent,single,1
49,73069.83,27248.23,24,702.0,11.0,2,0.353,business,rent,married,1
52,85975.54,8835.16,48,727.0,7.0,2,0.318,education,rent,single,0
38,94653.09,18922.25,24,713.0,28.0,3,0.24,home_improvement,mortgage,single,0
50,,15816.43,24,768.0,9.0,0,0.246,education,mortgage,married,0
31,75611.84,9377.9,36,548.0,11.0,2,0.361,medical,rent,single,1
24,44284.44,9152.08,60,769.0,10.0,2,0.183,home_improvement,own,single,0
24,63418.22,20487.73,48,657.0,5.0,4,0.383,business,rent,single,0
38,81925.21,26959.85,60,735.0,24.0,4,0.254,home_improvement,rent,single,0
57,80587.44,16832.37,48,581.0,17.0,2,0.338,home_improvement,own,married,0
26,68808.98,18631.02,48,680.0,13.0,1,0.514,business,rent,single,0
39,80955.09,23140.57,36,698.0,12.0,1,0.296,medical,rent,married,1
49,73833.8,9255.43,60,767.0,20.0,1,0.449,personal,mortgage,married,0
29,86605.51,24657.23,36,561.0,2.0,1,0.069,home_improvement,rent,single,1
49,70208.46,25374.09,36,682.0,28.0,4,0.254,home_improvement,rent,married,1
33,58597.43,41432.64,48,599.0,17.0,0,0.324,personal,rent,single,0
53,71045.14,14615.06,36,,7.0,0,0.589,personal,rent,single,0
44,18000.0,13877.26,24,738.0,16.0,3,0.046,medical,mortgage,single,0
42,71891.94,24920.69,36,777.0,26.0,1,0.307,personal,rent,single,0
28,18000.0,25371.94,36,640.0,5.0,4,0.524,home_improvement,mortgage,single,1
39,,13184.22,60,750.0,16.0,4,0.21,education,,single,1
55,73131.83,14371.54,36,782.0,18.0,4,0.29,personal,rent,married,0
21,73595.53,22870.18,60,557.0,25.0,2,0.366,home_improvement,rent,married,1
51,44076.28,10551.74,36,726.0,17.0,2,0.346,personal,rent,divorced,1
40,52182.16,14305.19,48,752.0,22.0,2,0.539,personal,rent,married,0
49,89669.74,18806.33,24,,,1,0.383,personal,rent,married,0
47,56287.46,26963.45,60,589.0,27.0,3,0.506,education,mortgage,single,1
38,105372.57,12558.61,36,751.0,11.0,5,0.27,medical,rent,married,0
33,64965.44,2000.0,36,590.0,21.0,1,0.216,education,mortgage,single,1
46,72344.65,2000.0,24,667.0,7.0,0,0.288,education,mortgage,divorced,0
26,94103.74,6665.28,36,677.0,26.0,3,0.158,education,own,divorced,1
44,67358.49,6181.49,36,734.0,29.0,2,0.388,medical,rent,single,0
24,46957.81,16608.5,48,633.0,9.0,4,0.266,education,rent,married,0
46,63024.91,7300.08,60,629.0,17.0,5,0.226,home_improvement,own,married,0
46,64359.01,11675.21,48,687.0,25.0,5,0.39,education,rent,married,0
24,40434.65,11033.23,36,755.0,0.0,2,0.16,personal,mortgage,single,0
51,60395.02,14035.43,36,850.0,21.0,5,0.428,home_improvement,mortgage,married,0
37,51640.54,29902.54,60,567.0,25.0,0,0.253,education,mortgage,married,1
52,81638.44,23957.53,60,704.0,27.0,2,0.482,personal,rent,single,1
22,65623.01,18145.16,36,599.0,6.0,1,0.265,home_improvement,rent,married,0
28,59909.68,13850.76,60,756.0,23.0,5,0.408,personal,mortgage,single,0
40,63088.73,14100.91,36,610.0,24.0,3,0.345,medical,mortgage,divorced,0
28,69016.2,20949.72,48,629.0,0.0,2,0.424,business,mortgage,single,0
34,76102.66,23257.52,60,636.0,21.0,0,0.335,business,mortgage,single,0
47,47005.18,9831.44,48,674.0,19.0,4,0.087,personal,own,single,0
26,46251.42,18328.33,24,704.0,30.0,3,0.461,education,own,married,1
48,84884.23,2000.0,36,716.0,1.0,5,0.308,education,mortgage,married,1
25,57577.94,19905.42,24,680.0,29.0,2,0.431,home_improvement,rent,single,1
28,39496.84,24859.34,48,580.0,17.0,0,0.417,personal,rent,single,1
44,72988.63,15479.38,36,735.0,8.0,2,0.212,education,mortgage,married,0
52,73340.66,34348.74,48,676.0,12.0,3,0.192,personal,mortgage,single,1
27,37447.13,10068.85,60,767.0,23.0,1,0.412,home_improvement,rent,single,1
32,69130.67,19956.96,24,627.0,30.0,0,0.278,education,mortgage,divorced,0
58,78240.5,17677.58,36,560.0,9.0,4,0.451,education,rent,single,1
60,71738.96,17097.32,48,677.0,,3,0.295,personal,rent,married,1
44,76375.67,16971.1,36,777.0,19.0,2,0.463,business,own,single,0
38,39723.16,18963.95,24,692.0,5.0,3,0.379,personal,mortgage,married,1
34,70958.72,25631.63,12,665.0,18.0,4,0.36,home_improvement,mortgage,married,1
45,,30399.63,36,615.0,24.0,0,0.268,education,mortgage,single,0
44,56309.78,17979.75,48,812.0,1.0,2,0.353,personal,mortgage,married,0
32,80670.0,25337.84,36,603.0,2.0,1,0.487,personal,rent,divorced,1
21,91626.94,11684.1,24,626.0,0.0,0,0.312,personal,mortgage,married,0
27,,24893.6,36,723.0,17.0,0,0.394,personal,rent,single,1
59,88666.54,11142.08,36,541.0,1.0,2,0.326,business,mortgage,married,1
37,63024.78,27815.94,36,776.0,28.0,3,0.337,personal,rent,married,0
40,71348.96,37895.77,48,727.0,3.0,3,0.561,business,own,single,1
39,78802.81,16901.25,36,747.0,2.0,4,0.488,education,mortgage,single,1
52,67181.2,2000.0,36,722.0,7.0,2,0.331,personal,rent,single,0
23,67353.76,13067.34,60,668.0,23.0,3,0.35,personal,rent,married,1
24,79827.56,29086.88,36,600.0,28.0,4,0.222,personal,rent,single,1
32,63932.91,22977.69,48,669.0,7.0,3,0.296,education,mortgage,single,1
40,51872.84,20240.22,12,607.0,16.0,5,0.363,home_improvement,mortgage,married,1
47,57539.48,27078.02,24,716.0,23.0,1,0.439,home_improvement,mortgage,single,0
40,76410.39,22360.08,24,741.0,24.0,4,0.425,home_improvement,own,single,1
38,65053.88,28959.53,48,791.0,4.0,4,0.165,home_improvement,mortgage,married,0
58,71123.78,26274.81,60,708.0,25.0,3,0.457,education,mortgage,single,0
27,77061.43,31695.3,24,749.0,26.0,0,0.308,personal,mortgage,divorced,0
43,58252.85,21229.16,24,658.0,22.0,3,0.182,personal,mortgage,single,0
42,78612.47,26147.33,36,644.0,16.0,5,0.507,home_improvement,mortgage,married,1
39,71819.17,15235.86,36,716.0,12.0,3,0.525,medical,mortgage,married,0
53,42773.36,12586.85,48,651.0,27.0,0,0.357,medical,rent,single,1
31,90961.49,33360.91,48,700.0,26.0,1,0.419,business,rent,single,0
59,55986.59,19945.84,60,600.0,16.0,3,0.427,education,rent,married,1
34,35208.28,25243.93,36,614.0,23.0,4,0.515,business,own,single,1
42,46189.21,19113.66,48,728.0,,2,0.422,medical,mortgage,single,0
41,46621.19,12721.36,36,747.0,23.0,5,0.134,business,rent,divorced,0
54,65939.12,18098.85,36,606.0,2.0,4,0.601,home_improvement,rent,married,1
38,60070.69,30923.95,60,730.0,27.0,1,0.469,personal,mortgage,divorced,1
32,58937.02,22997.16,24,640.0,15.0,1,0.249,medical,own,single,1
21,76154.64,2596.74,48,681.0,18.0,5,0.176,education,own,single,1
35,71117.76,16062.8,48,786.0,5.0,3,0.391,education,own,married,0
54,70688.86,34040.64,60,741.0,16.0,5,0.281,education,own,single,1
21,72376.91,16075.83,36,740.0,0.0,5,0.366,personal,rent,single,1
56,76090.42,2000.0,36,823.0,27.0,2,0.424,personal,rent,single,0
42,27056.84,35037.44,60,627.0,23.0,0,0.241,medical,mortgage,single,0
26,58440.11,24141.53,48,606.0,14.0,5,0.164,medical,mortgage,married,0
33,25756.22,17369.88,36,626.0,25.0,3,0.374,home_improvement,rent,single,0
43,65649.08,14657.24,48,661.0,,0,0.245,education,mortgage,divorced,0
33,64916.61,27741.17,36,503.0,,3,0.34,medical,rent,single,1
25,83819.58,13122.15,36,664.0,1.0,0,0.132,personal,,single,0
47,86377.42,28334.31,60,639.0,7.0,1,0.285,education,rent,single,0
47,68649.95,22879.76,36,739.0,0.0,2,0.42,home_improvement,own,married,1
25,55993.5,20202.14,36,706.0,17.0,2,0.405,education,mortgage,married,0
32,73732.9,19309.63,60,635.0,16.0,3,0.21,business,mortgage,married,1
30,55497.48,16425.29,48,724.0,16.0,5,0.156,personal,own,single,0
47,64974.93,27410.76,60,734.0,2.0,2,0.322,home_improvement,own,single,0
50,82750.45,10211.91,36,622.0,28.0,4,0.399,business,rent,married,0
50,54960.12,3402.67,60,643.0,30.0,5,0.377,business,mortgage,single,0
58,79502.22,23529.96,24,513.0,18.0,4,0.248,personal,rent,married,1
51,77193.22,23681.14,36,598.0,0.0,1,0.362,personal,mortgage,single,1
33,47813.75,22322.17,36,,12.0,4,0.53,business,rent,single,1
25,82530.09,21669.56,48,686.0,22.0,1,0.349,personal,mortgage,single,0
45,77574.19,15115.14,60,609.0,23.0,2,0.091,personal,mortgage,single,0
57,66834.67,25087.34,48,641.0,7.0,3,0.348,medical,rent,married,1
60,51278.18,17589.98,48,588.0,25.0,1,0.606,medical,mortgage,married,1
30,49534.29,13615.98,36,693.0,29.0,0,0.14,personal,mortgage,divorced,0
30,55322.07,15192.98,36,712.0,15.0,5,0.324,education,mortgage,married,0
22,74766.7,36185.76,36,710.0,11.0,4,0.288,personal,rent,single,1
26,47798.75,2385.22,12,681.0,16.0,0,0.333,education,rent,married,1
43,72875.22,22498.09,36,564.0,0.0,2,0.347,personal,rent,single,1
42,42648.4,2888.01,60,634.0,16.0,1,0.48,business,own,married,1
35,61326.77,17025.9,48,649.0,0.0,5,0.332,personal,own,single,1
33,66973.66,14097.35,48,650.0,1.0,5,0.499,business,rent,divorced,1
54,109012.34,2000.0,36,686.0,17.0,4,0.304,education,mortgage,married,1
39,40208.32,21501.34,36,787.0,15.0,2,0.271,education,mortgage,married,0
53,91496.26,14579.66,12,741.0,30.0,0,0.226,business,own,married,0
59,67697.16,2000.0,36,606.0,,1,0.066,home_improvement,rent,married,1
33,72401.09,25556.11,36,731.0,30.0,0,0.359,business,mortgage,married,0
29,67130.26,30915.06,36,728.0,25.0,4,0.608,business,mortgage,married,0
59,73005.08,31411.12,12,620.0,10.0,0,0.384,business,rent,single,1
46,62233.67,21230.61,48,744.0,28.0,4,0.416,business,rent,married,0
32,91172.9,18414.52,36,668.0,14.0,5,0.262,business,rent,single,0
45,56783.52,29953.41,36,574.0,18.0,1,0.286,business,mortgage,married,1
41,85380.22,33141.45,24,714.0,3.0,4,0.458,education,mortgage,married,1
57,53401.39,28202.12,36,696.0,,5,0.601,education,mortgage,single,0
31,63915.47,9526.16,36,663.0,16.0,2,0.528,personal,rent,married,1
60,45704.67,19812.1,36,677.0,8.0,2,0.433,personal,own,married,0
58,73190.43,21955.65,36,,18.0,1,0.325,business,rent,married,1
28,91012.27,2000.0,12,726.0,2.0,2,0.349,personal,own,married,0
27,63607.59,22224.25,60,677.0,7.0,5,0.215,medical,rent,married,0
42,61456.06,38456.93,12,692.0,20.0,3,0.117,business,own,married,1
22,44936.89,23759.43,36,707.0,18.0,1,0.162,medical,own,single,0
32,60872.73,31260.72,24,593.0,30.0,3,0.327,home_improvement,own,single,0
38,36329.7,19646.23,36,613.0,27.0,4,0.279,medical,own,married,1
59,48568.2,17341.04,36,514.0,25.0,0,0.114,personal,rent,single,1
60,69082.15,21431.44,60,722.0,0.0,4,0.315,personal,mortgage,single,0
27,88742.24,10657.56,36,589.0,18.0,1,0.275,medical,mortgage,single,1
56,115565.8,9326.02,48,690.0,7.0,1,0.156,education,mortgage,single,0
